time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-13T18:37:32.990Z,49.5463,-129.3459,10,4.5,mwr,,177,1.345,0.99,us,us2000bmsh,2018-02-06T02:45:32.040Z,"188km SW of Port Hardy, Canada",earthquake,5.1,2,,,reviewed,us,pgc
2017-09-28T07:48:04.560Z,50.7781,-130.2348,10,4.4,mwr,,171,1.343,1.25,us,us2000avt1,2017-12-22T21:56:26.040Z,"198km W of Port Hardy, Canada",earthquake,5,2,,,reviewed,us,pgc
2017-09-24T22:00:45.690Z,48.9803,-129.4613,16.5,3.9,mwr,,164,1.038,0.93,us,us2000au1z,2017-12-22T21:56:20.040Z,"241km SW of Port Hardy, Canada",earthquake,6.4,3.6,,,reviewed,us,pgc
2017-07-29T14:15:15.430Z,51.2794,-130.8997,10,4.2,mwr,,178,1.032,0.85,us,us2000a40e,2017-10-14T00:19:45.040Z,"215km WSW of Bella Bella, Canada",earthquake,3.2,2,,,reviewed,us,pgc
2017-06-30T18:05:20.560Z,50.5634,-130.1603,17.43,4.1,mwr,,195,1.294,1.14,us,us100095lz,2017-09-27T02:03:20.040Z,"194km W of Port Hardy, Canada",earthquake,7.1,7.3,,,reviewed,us,pgc
2017-06-23T02:08:58.520Z,47.6007,-128.2547,10,3.8,mwr,,179,0.372,1.15,us,us20009p6c,2017-08-23T16:35:47.040Z,"245km SW of Tofino, Canada",earthquake,5.9,2,,,reviewed,us,pgc
2017-06-10T20:38:18.560Z,50.6602,-130.0913,10,4.8,mwr,,115,1.246,0.9,us,us20009lss,2017-08-16T02:42:23.040Z,"188km W of Port Hardy, Canada",earthquake,5.3,1.8,0.065,23,reviewed,us,us
2017-06-08T05:51:15.170Z,47.667,-128.852,10,3.4,mwr,,,,0.72,us,us2000a78l,2017-08-16T02:42:20.040Z,"273km SW of Tofino, Canada",earthquake,2,1.9,,,reviewed,pgc,pgc
2017-05-22T21:33:14.050Z,47.3929,-128.3119,10,3.1,mwr,,173,0.526,1.17,us,us10008v64,2017-08-10T01:33:58.040Z,"264km SW of Tofino, Canada",earthquake,6.1,2,,,reviewed,us,pgc
2017-05-19T12:25:49.760Z,47.6329,-128.0692,10,2.9,mwr,,260,2.095,0.32,us,us2000a2yc,2017-08-05T03:32:12.040Z,"232km SW of Tofino, Canada",earthquake,4,2,,,reviewed,us,pgc
2017-05-19T12:09:14.580Z,47.658,-128.0232,10,4.3,mwr,,141,1.987,0.91,us,us10008tjc,2017-08-05T03:32:12.040Z,"228km SW of Tofino, Canada",earthquake,6.3,2,0.06,27,reviewed,us,us
2017-05-15T03:30:16.180Z,47.5731,-128.9961,10,3.6,mwr,,195,0.382,0.83,us,us10008sxh,2017-08-05T03:32:07.040Z,"288km SW of Tofino, Canada",earthquake,3.4,2,,,reviewed,us,pgc
2017-05-08T09:43:39.700Z,47.3557,-129.1803,10,3.3,mwr,,243,0.596,0.7,us,us2000a1ka,2017-08-01T23:02:11.040Z,"Off the coast of Washington",earthquake,5.8,2,,,reviewed,us,pgc
2017-05-07T20:05:33.150Z,50.792,-130.0603,12.8,4.4,mwr,,188,1.234,1.6,us,us10008qcc,2017-08-01T23:02:10.040Z,"186km W of Port Hardy, Canada",earthquake,4.2,3.6,,,reviewed,us,pgc
2017-03-07T15:50:57.180Z,49.3435,-129.3443,10,4,mb,,163,1.515,0.78,us,us100087ha,2017-05-31T01:58:57.040Z,"204km SW of Port Hardy, Canada",earthquake,5.2,1.9,0.075,48,reviewed,us,us
2017-02-28T23:58:10.190Z,50.5947,-130.0972,10,4.2,mwr,,197,1.252,0.79,us,us100087dy,2017-05-24T02:48:11.040Z,"189km W of Port Hardy, Canada",earthquake,4.1,2,,,reviewed,us,pgc
2017-02-28T23:57:35.220Z,50.5241,-130.2077,10,4.2,mwr,,202,1.327,1.18,us,us100085un,2017-05-24T02:48:11.040Z,"198km W of Port Hardy, Canada",earthquake,2.1,2,,,reviewed,us,pgc
2017-02-24T12:28:24.830Z,49.6697,-129.1491,10,5.2,mww,,140,1.171,0.94,us,us20008m0k,2017-05-17T01:19:38.040Z,"168km SW of Port Hardy, Canada",earthquake,3.7,1.7,,,reviewed,us,us
2017-02-23T06:29:21.150Z,49.5603,-129.4659,10,4.5,mwr,,179,1.38,0.77,us,us20008lpj,2017-05-17T01:19:36.040Z,"193km SW of Port Hardy, Canada",earthquake,5.1,1.8,,,reviewed,us,pgc
2017-02-23T06:04:58.100Z,49.7062,-129.2457,10,5.1,mww,,154,1.177,0.73,us,us20008lph,2017-05-17T01:19:36.040Z,"170km SW of Port Hardy, Canada",earthquake,7.9,1.9,0.039,64,reviewed,us,us
2017-02-12T03:47:40.170Z,49.3075,-129.3552,10,5,mwr,,164,1.55,1.35,us,us20008j9n,2017-05-13T01:03:17.040Z,"207km SW of Port Hardy, Canada",earthquake,5.5,1.9,,,reviewed,us,pgc
2017-01-07T06:32:36.530Z,50.08,-130.1524,10,4.6,mwr,,172,1.409,1.08,us,us10007rty,2017-03-27T23:53:26.040Z,"206km WSW of Port Hardy, Canada",earthquake,7.9,2,,,reviewed,us,pgc
2017-01-07T03:23:57.030Z,50.0125,-130.1366,10,4.6,mwr,,189,1.429,0.84,us,us10007vav,2017-03-27T23:53:25.040Z,"207km WSW of Port Hardy, Canada",earthquake,8.9,2,,,reviewed,us,pgc
2017-01-07T03:17:40.640Z,50.0673,-130.2458,10,4.8,mwr,,178,1.469,1.13,us,us10007v7i,2017-03-27T23:53:25.040Z,"212km WSW of Port Hardy, Canada",earthquake,4.2,2,,,reviewed,us,pgc
2017-01-07T03:13:54.320Z,50.2065,-130.1516,10,5.4,mww,,94,1.362,0.67,us,us10007rsx,2017-03-27T23:53:25.040Z,"201km WSW of Port Hardy, Canada",earthquake,6.7,1.8,,,reviewed,us,us
2017-01-07T03:11:57.580Z,50.5164,-129.9196,10,4.2,mwr,,188,1.145,0.84,us,us10007v7h,2017-03-27T23:53:25.040Z,"178km W of Port Hardy, Canada",earthquake,6.2,2,,,reviewed,us,pgc
2017-01-06T21:05:30.970Z,50.2805,-129.7803,10,4.4,mwr,,167,1.112,0.9,us,us10007rrk,2017-03-27T23:53:25.040Z,"173km WSW of Port Hardy, Canada",earthquake,3.4,2,,,reviewed,us,pgc
2017-01-06T16:52:22.750Z,50.2529,-129.8802,10,4.6,mwr,,163,1.182,1.33,us,us10007rqu,2017-03-27T23:53:25.040Z,"181km WSW of Port Hardy, Canada",earthquake,6,1.9,,,reviewed,us,pgc
2017-01-06T16:42:15.200Z,50.3901,-129.8836,10,3.9,mwr,,170,1.145,1.39,us,us10007rqr,2017-03-27T23:53:25.040Z,"177km W of Port Hardy, Canada",earthquake,7.8,2,,,reviewed,us,pgc
2017-01-06T15:48:59.140Z,50.1607,-130.0753,10,5.3,mww,,137,1.332,1.26,us,us10007rnp,2017-03-27T23:53:25.040Z,"197km WSW of Port Hardy, Canada",earthquake,3.3,1.8,,,reviewed,us,us
2016-11-25T04:02:23.050Z,50.9767,-130.3771,10,4.5,mwr,,162,1.414,1.29,us,us10007c7n,2017-02-23T00:11:46.040Z,"204km SW of Bella Bella, Canada",earthquake,8,2,,,reviewed,us,pgc
2016-09-17T22:45:58.590Z,49.0783,-128.9674,10,4.5,mwr,,167,2.287,0.76,us,us10006qix,2016-12-12T23:01:28.040Z,"211km SSW of Port Hardy, Canada",earthquake,7.7,1.9,,,reviewed,us,pgc
2016-09-16T19:46:52.920Z,51.5979,-130.6498,10,4.9,mwr,,140,0.774,1.14,us,us10006q8s,2016-12-12T23:01:26.040Z,"185km WSW of Bella Bella, Canada",earthquake,5,1.9,,,reviewed,us,pgc
2016-08-26T07:19:11.140Z,51.2231,-130.7823,10,4.4,mwr,,,,1.03,us,us20006u56,2016-11-29T01:28:40.040Z,"211km WSW of Bella Bella, Canada",earthquake,9.1,2,,,reviewed,pgc,pgc
2016-08-09T14:39:11.370Z,50.4018,-129.8461,4.72,4.7,mwr,,168,1.118,0.71,us,us10006ccx,2016-10-26T03:10:24.040Z,"175km W of Port Hardy, Canada",earthquake,6.6,5.3,,,reviewed,us,pgc
2016-05-07T05:25:25.800Z,47.7273,-128.5024,10,4.3,mb,,166,2.354,1.26,us,us10005fp2,2016-07-20T18:10:46.040Z,"249km SW of Tofino, Canada",earthquake,7.8,2,0.075,51,reviewed,us,us
2016-05-07T00:53:08.210Z,47.6868,-128.6444,10,4,mb,,197,2.456,0.55,us,us10005h6l,2016-07-20T18:10:46.040Z,"260km SW of Tofino, Canada",earthquake,10,2,0.144,13,reviewed,us,us
2016-05-07T00:34:02.440Z,47.7867,-128.5459,10,4,mb,,176,2.347,0.74,us,us10005h6k,2016-07-20T18:10:46.040Z,"247km SW of Tofino, Canada",earthquake,6.5,2,0.129,16,reviewed,us,us
